Date,Open,High,Low,Close,Volume,Change
2019-10-18,3240,4210,3240,4210,13113,
2019-10-21,5470,5470,5470,5470,11612,0.2992874109263659
2019-10-22,7110,7110,7110,7110,4590,0.29981718464351004
2019-10-23,9240,9240,9240,9240,4070,0.29957805907172985
2019-10-24,11900,12000,11700,12000,630669,0.2987012987012987
2019-10-25,13450,13650,9140,9480,2807934,-0.20999999999999996
2019-10-28,9600,9600,7750,8050,1115836,-0.15084388185654007
2019-10-29,7760,8290,7590,7840,564476,-0.02608695652173909
2019-10-30,8520,9360,7140,8440,2388260,0.07653061224489788
2019-10-31,8110,8850,7640,8240,510859,-0.023696682464455
2019-11-01,8390,8740,7800,7950,479294,-0.03519417475728159
2019-11-04,7980,8060,7600,7760,161387,-0.023899371069182385
2019-11-05,7760,7760,7100,7290,158321,-0.06056701030927836
2019-11-06,7250,7870,7160,7500,191440,0.028806584362139898
2019-11-07,7490,7490,7210,7410,65428,-0.01200000000000001
2019-11-08,7410,7680,7360,7500,84566,0.012145748987854255
2019-11-11,7550,8450,7550,7940,322999,0.058666666666666645
2019-11-12,7870,7900,7550,7610,112121,-0.041561712846347576
2019-11-13,7610,7750,7500,7670,60495,0.007884362680683266
2019-11-14,7650,8140,7650,7780,142708,0.014341590612777066
2019-11-15,7960,8360,7830,7980,261511,0.02570694087403602
2019-11-18,8050,8190,7900,7960,54270,-0.0025062656641604564
2019-11-19,7950,8090,7690,7860,92244,-0.012562814070351758
2019-11-20,7860,7980,7560,7690,43190,-0.021628498727735423
2019-11-21,7600,7740,7350,7620,34998,-0.00910273081924573
2019-11-22,7580,7580,7300,7410,20040,-0.027559055118110187
2019-11-25,7590,7590,7200,7260,29723,-0.020242914979757054
2019-11-26,7190,7270,7140,7230,24073,-0.004132231404958664
2019-11-27,7230,7280,7050,7200,41410,-0.004149377593360981
2019-11-28,7110,7200,7050,7100,15180,-0.01388888888888884
2019-11-29,7090,7150,6870,6910,19350,-0.026760563380281654
2019-12-02,6840,6970,6820,6910,10011,0.0
2019-12-03,6850,8610,6850,8000,2251738,0.15774240231548475
2019-12-04,7690,7790,6880,6900,511217,-0.13749999999999996
2019-12-05,6870,6920,6570,6670,120907,-0.033333333333333326
2019-12-06,6560,7220,6540,6680,196149,0.0014992503748125774
2019-12-09,6790,6820,6630,6630,23803,-0.007485029940119792
2019-12-10,6630,7980,6630,6890,1101222,0.03921568627450989
2019-12-11,6980,7280,6820,6970,289008,0.011611030478954953
2019-12-12,6980,7050,6830,6890,70778,-0.011477761836441891
2019-12-13,6900,7220,6820,7110,222339,0.03193033381712618
2019-12-16,7320,8450,7090,7750,2111502,0.09001406469760909
2019-12-17,7450,7990,7200,7200,698281,-0.07096774193548383
2019-12-18,7230,7330,7030,7060,131334,-0.019444444444444486
2019-12-19,7070,7150,7000,7000,64016,-0.008498583569405138
2019-12-20,7190,7190,6840,6900,71509,-0.014285714285714235
2019-12-23,6850,6900,6800,6830,45758,-0.010144927536231862
2019-12-24,6900,7140,6830,6900,104072,0.01024890190336758
2019-12-26,6900,7100,6820,6970,92059,0.010144927536231974
2019-12-27,7000,7130,6860,7080,57784,0.015781922525107683
2019-12-30,7140,7190,7070,7100,32846,0.0028248587570620654
2020-01-02,7100,7130,7050,7100,35660,0.0
2020-01-03,7060,7570,7060,7200,198256,0.014084507042253502
2020-01-06,7450,7500,7230,7350,122310,0.02083333333333326
2020-01-07,7500,7830,7410,7640,204139,0.039455782312925125
2020-01-08,7800,7800,7130,7450,155095,-0.02486910994764402
2020-01-09,7700,7720,7470,7700,98714,0.033557046979865834
2020-01-10,7700,7710,7590,7700,39243,0.0
2020-01-13,7740,7780,7550,7590,59667,-0.014285714285714235
2020-01-14,7750,8140,7590,7650,143970,0.007905138339920903
2020-01-15,7670,7780,7570,7630,33416,-0.002614379084967311
2020-01-16,7640,7750,7550,7700,40579,0.00917431192660545
2020-01-17,7710,7770,7610,7690,30014,-0.0012987012987012436
2020-01-20,7640,7700,7570,7630,99195,-0.007802340702210642
2020-01-21,7650,7650,7470,7470,28798,-0.020969855832241202
2020-01-22,7540,7870,7470,7830,145923,0.04819277108433728
2020-01-23,7830,8080,7810,7970,111383,0.017879948914431676
2020-01-28,7800,8120,7420,8040,107145,0.008782936010037545
2020-01-29,8160,8450,8150,8300,88903,0.03233830845771135
2020-01-30,8400,9620,8300,8880,606278,0.06987951807228909
2020-01-31,8990,9070,8310,8340,98251,-0.060810810810810856
2020-02-03,8250,8650,7830,8500,68042,0.01918465227817756
2020-02-04,8800,9480,8520,9240,242216,0.08705882352941186
2020-02-05,9480,9690,9130,9200,114317,-0.0043290043290042934
2020-02-06,9050,9170,8890,8990,72076,-0.022826086956521774
2020-02-07,9000,9100,8720,8800,45904,-0.021134593993325956
2020-02-10,8690,8850,8400,8400,50263,-0.045454545454545414
2020-02-11,8410,9930,8410,9260,1277533,0.10238095238095246
2020-02-12,9500,9860,9130,9740,415064,0.05183585313174954
2020-02-13,9740,9800,9490,9690,160506,-0.005133470225872738
2020-02-14,9800,11500,9600,10950,1017962,0.13003095975232193
2020-02-17,10950,11700,10650,11400,304306,0.041095890410958846
2020-02-18,11400,12000,11200,11550,228244,0.013157894736842035
2020-02-19,11900,12150,11300,11600,136559,0.0043290043290042934
2020-02-20,11650,11850,10950,11250,179041,-0.030172413793103425
2020-02-21,10750,11200,10650,10850,143687,-0.03555555555555556
2020-02-24,10400,10550,10050,10350,98329,-0.04608294930875578
2020-02-25,10450,11050,10000,11000,121048,0.06280193236714982
2020-02-26,10850,11250,10200,11150,78472,0.013636363636363669
2020-02-27,11000,11250,10600,10800,64021,-0.03139013452914796
2020-02-28,10450,10600,10200,10300,84871,-0.04629629629629628
2020-03-02,10300,10750,10300,10550,81139,0.024271844660194164
2020-03-03,11200,11200,10450,10450,91812,-0.009478672985781977
2020-03-04,10000,11100,10000,10950,116902,0.04784688995215314
2020-03-05,11300,11700,11050,11400,163155,0.041095890410958846
2020-03-06,11250,11400,11000,11150,47544,-0.021929824561403466
2020-03-09,10950,10950,10200,10250,81326,-0.08071748878923768
2020-03-10,10000,10700,9800,10400,91501,0.014634146341463428
2020-03-11,10450,10450,9130,9440,138713,-0.09230769230769231
2020-03-12,9050,9220,7910,8240,123095,-0.1271186440677966
2020-03-13,7100,8010,6600,7780,100498,-0.05582524271844658
2020-03-16,8440,8440,7000,7030,80408,-0.09640102827763497
2020-03-17,6650,7780,6430,7100,81662,0.009957325746799528
2020-03-18,7210,7410,6620,6620,50514,-0.06760563380281692
2020-03-19,6800,6800,5170,5250,73472,-0.20694864048338368
2020-03-20,5700,6800,5430,6340,244592,0.2076190476190476
2020-03-23,5740,6340,5430,5960,97194,-0.05993690851735012
2020-03-24,6280,7610,6100,7020,438267,0.1778523489932886
2020-03-25,7330,8010,7020,7430,282131,0.05840455840455849
2020-03-26,7600,7600,7120,7150,100931,-0.037685060565275874
2020-03-27,7550,7630,6800,7150,85743,0.0
2020-03-30,6950,7130,6770,7120,31922,-0.004195804195804231
2020-03-31,7370,7370,7070,7220,45183,0.014044943820224809
2020-04-01,7330,7850,7130,7320,122571,0.013850415512465464
2020-04-02,7320,7480,7040,7450,70280,0.01775956284153013
2020-04-03,7650,8050,7560,7900,170591,0.06040268456375841
2020-04-06,8200,9190,8120,8820,191420,0.1164556962025316
2020-04-07,9790,9790,8820,9090,79199,0.030612244897959107
2020-04-08,9580,11800,9410,11100,1354656,0.22112211221122102
2020-04-09,13100,14400,12000,14400,1109124,0.29729729729729737
2020-04-10,13700,16500,12500,14200,2350440,-0.01388888888888884
2020-04-13,15300,16300,13850,14450,607273,0.01760563380281699
2020-04-14,15850,15950,13300,14550,1006855,0.006920415224913601
2020-04-16,15000,16250,13800,14200,1866463,-0.02405498281786944
2020-04-17,14200,14750,13500,14150,200401,-0.0035211267605633756
2020-04-20,13700,14550,13600,14100,215614,-0.0035335689045936647
2020-04-21,14050,14300,12650,13850,187711,-0.01773049645390068
2020-04-22,13400,13600,12950,13250,145446,-0.04332129963898912
2020-04-23,13500,13600,12950,13200,72499,-0.0037735849056603765
2020-04-24,12950,13000,12300,12650,89419,-0.04166666666666663
2020-04-27,12900,13850,12650,13850,149263,0.09486166007905128
2020-04-28,14300,14450,13750,14050,92091,0.014440433212996373
2020-04-29,14250,14300,13700,14100,82714,0.003558718861210064
2020-05-04,13500,13650,12950,13300,56635,-0.05673758865248224
2020-05-06,13400,13600,12900,13200,58922,-0.007518796992481258
2020-05-07,13000,13750,12950,13500,46335,0.022727272727272707
2020-05-08,14000,14150,13600,13600,78839,0.007407407407407307
2020-05-11,13100,16250,13100,14450,1183934,0.0625
2020-05-12,14600,15000,13700,13850,271815,-0.04152249134948094
2020-05-13,13800,17350,13550,15100,2631951,0.09025270758122739
2020-05-14,14750,15950,14450,14500,438190,-0.039735099337748325
2020-05-15,14200,14650,13550,14200,164035,-0.020689655172413834
2020-05-18,14000,15700,13750,14250,445470,0.0035211267605634866
2020-05-19,14300,14850,14200,14400,77825,0.010526315789473717
2020-05-20,14400,15000,14300,14800,124244,0.02777777777777768
2020-05-21,15100,15100,14600,14600,78299,-0.013513513513513487
2020-05-22,14600,14800,14100,14800,97045,0.013698630136986356
2020-05-25,15150,15350,14800,15050,149779,0.016891891891891886
2020-05-26,15100,15950,14900,15350,350313,0.019933554817275656
2020-05-27,15350,15500,14900,14950,82651,-0.026058631921824116
2020-05-28,15150,15300,14050,14350,116974,-0.04013377926421402
2020-05-29,14350,14800,14200,14700,45933,0.024390243902439046
2020-06-01,14750,15350,14700,15050,88772,0.023809523809523725
2020-06-02,15150,15500,15000,15150,59553,0.006644518272425293
2020-06-03,14100,14600,13900,14150,131496,-0.06600660066006603
2020-06-04,14000,14050,13450,13700,64633,-0.03180212014134276
2020-06-05,13550,14800,13500,14300,95902,0.04379562043795615
2020-06-08,14700,14700,13750,13800,61536,-0.034965034965035
2020-06-09,14100,14250,13650,13750,34620,-0.0036231884057971175
2020-06-10,13750,16250,13500,14650,1025945,0.06545454545454543
2020-06-11,15150,18000,15000,17400,1365598,0.18771331058020468
2020-06-12,16050,22600,16000,22600,664763,0.29885057471264376
2020-06-15,29350,29350,20000,21100,2453898,-0.0663716814159292
2020-06-16,24300,25500,20600,23300,1185460,0.10426540284360186
2020-06-17,22600,25300,22050,22700,620292,-0.025751072961373356
2020-06-18,22150,23200,21200,21450,208960,-0.05506607929515417
2020-06-19,21700,23100,18500,20600,430234,-0.03962703962703962
2020-06-22,20200,20750,19300,19800,123080,-0.03883495145631066
2020-06-23,19850,23150,19800,21250,797807,0.07323232323232332
2020-06-24,21250,21350,19950,20000,175453,-0.05882352941176472
2020-06-25,19450,19650,18800,19200,93954,-0.040000000000000036
2020-06-26,19600,20350,18700,19400,67458,0.01041666666666674
2020-06-29,18900,19100,18300,18700,53399,-0.03608247422680411
2020-06-30,18750,19100,17650,17950,54075,-0.0401069518716578
2020-07-01,17950,18950,17400,17450,60148,-0.027855153203342642
2020-07-02,17400,22650,16950,22650,773411,0.2979942693409743
2020-07-03,20100,21950,18500,19050,613829,-0.1589403973509934
2020-07-06,19900,20200,18750,19100,178399,0.002624671916010568
2020-07-07,19500,19650,18650,18850,85459,-0.01308900523560208
2020-07-08,19600,20550,18650,19200,204613,0.018567639257294433
2020-07-09,19350,20200,18800,19450,164147,0.01302083333333326
2020-07-10,19450,19650,18600,18650,93712,-0.041131105398457546
2020-07-13,18750,19700,18100,18450,179289,-0.01072386058981234
2020-07-14,18450,18650,17550,17650,84558,-0.04336043360433606
2020-07-15,18250,18250,17550,17850,54502,0.011331444759206777
2020-07-16,18050,18450,17550,17800,70208,-0.0028011204481792618
2020-07-17,18100,18450,17850,18100,58549,0.016853932584269593
2020-07-20,18650,18650,17800,18000,54324,-0.0055248618784530246
2020-07-21,18200,21000,17900,18400,588074,0.022222222222222143
2020-07-22,18400,18400,17900,17900,92148,-0.02717391304347827
2020-07-23,18100,18350,17750,18100,73272,0.011173184357541999
2020-07-24,17650,18100,17650,17700,55544,-0.02209944751381221
2020-07-27,17600,17950,17250,17750,105453,0.0028248587570620654
2020-07-28,18100,19350,17950,18250,302925,0.028169014084507005
2020-07-29,18800,19150,18100,18100,96877,-0.008219178082191747
2020-07-30,18100,18300,17900,18300,39691,0.011049723756906049
2020-07-31,18400,18700,18050,18050,37480,-0.013661202185792365
2020-08-03,18350,18750,18000,18150,53703,0.005540166204986097
2020-08-04,18550,18550,18150,18250,26446,0.005509641873278293
2020-08-05,18300,18600,18150,18250,41826,0.0
2020-08-06,18600,19600,18250,18500,232631,0.013698630136986356
2020-08-07,18800,18900,18450,18650,71558,0.008108108108108025
2020-08-10,19150,21550,19150,20700,518251,0.10991957104557648
2020-08-11,20700,22450,19550,20350,361164,-0.016908212560386437
2020-08-12,20300,20500,19650,20500,98380,0.0073710073710073765
2020-08-13,20500,20550,19700,19700,64030,-0.039024390243902474
2020-08-14,19700,19700,18900,19150,59681,-0.027918781725888353
2020-08-18,18950,19100,17100,17650,68583,-0.07832898172323755
2020-08-19,17850,18200,17050,17700,53070,0.0028328611898016387
2020-08-20,17900,18100,16200,16400,61391,-0.07344632768361581
2020-08-21,16900,16900,15800,16400,39164,0.0
2020-08-24,16100,16800,16000,16200,28080,-0.012195121951219523
2020-08-25,16100,16900,16100,16400,24065,0.012345679012345734
2020-08-26,16400,16400,14800,15750,183975,-0.03963414634146345
2020-08-27,15850,16200,15200,15500,49678,-0.015873015873015928
2020-08-28,15550,15850,15200,15600,36867,0.006451612903225712
2020-08-31,15900,16100,15500,15850,39882,0.01602564102564097
2020-09-01,15850,16500,15650,16200,28076,0.02208201892744488
2020-09-02,16400,16400,15850,16050,22815,-0.0092592592592593
2020-09-03,16400,17100,15950,16900,73155,0.052959501557632294
2020-09-04,16150,19250,16150,17100,341616,0.01183431952662728
2020-09-07,22200,22200,20850,22200,892034,0.29824561403508776
