Date,Open,High,Low,Close,Volume,Change
2020-10-29,9672,9785,9602,9786,1759,
2020-10-30,9696,9741,9503,9504,110,-0.028816676885346393
2020-11-02,9568,9652,9538,9628,1083,0.013047138047137974
2020-11-03,9716,9929,9716,9929,20455,0.03126298296634822
2020-11-04,10008,10221,9889,10147,25109,0.021955886796253488
2020-11-05,10117,10246,10087,10241,1167,0.00926382181925689
2020-11-06,10360,10360,10167,10226,1863,-0.0014647007128210099
2020-11-09,10295,10335,10266,10316,2124,0.008801095247408464
2020-11-10,10290,10374,10201,10350,23071,0.0032958511050795725
2020-11-11,10350,10370,10305,10370,16406,0.0019323671497584183
2020-11-12,10384,10389,10266,10321,23635,-0.004725168756027021
2020-11-13,10231,10266,10107,10266,12301,-0.005328940994089759
2020-11-16,10256,10394,10241,10375,15966,0.010617572569647349
2020-11-17,10360,10399,10251,10281,8843,-0.009060240963855382
2020-11-18,10285,10370,10241,10321,25627,0.0038906721136076072
2020-11-19,10275,10365,10231,10365,13563,0.004263152795271674
2020-11-20,10345,10533,10345,10533,44730,0.016208393632416884
2020-11-23,10538,10642,10498,10618,35360,0.008069875628975653
2020-11-24,10647,10691,10533,10687,35690,0.006498398945187445
2020-11-25,10726,10790,10459,10538,68088,-0.013942172733227287
2020-11-26,10563,10681,10478,10682,33982,0.013664832036439645
2020-11-27,10691,10840,10642,10801,126682,0.011140235910878094
2020-11-30,10845,10909,10746,10756,161343,-0.004166280899916663
2020-12-01,10810,10815,10691,10806,15018,0.00464856824098181
2020-12-02,10805,10884,10770,10860,206802,0.0049972237645752315
2020-12-03,10879,10884,10795,10850,42433,-0.0009208103130755596
2020-12-04,10850,10949,10805,10919,49782,0.006359447004608221
2020-12-07,10934,11003,10820,11004,66585,0.007784595658943072
2020-12-08,11003,11058,10860,10910,75713,-0.008542348237004727
2020-12-09,10983,11018,10909,11013,72167,0.009440879926672752
2020-12-10,10939,11072,10929,11068,45011,0.0049940978843185935
2020-12-11,11082,11127,11048,11127,61908,0.0053306830502348745
2020-12-14,11122,11122,10968,11023,45965,-0.009346634312932478
2020-12-15,11082,11161,11023,11122,109628,0.008981221083189661
2020-12-16,11166,11295,11122,11286,175473,0.014745549361625532
2020-12-17,11300,11345,11226,11325,169767,0.0034556087187667117
2020-12-18,11350,11350,11231,11296,87080,-0.0025607064017659775
2020-12-21,11295,11359,11186,11350,72605,0.004780453257790418
2020-12-22,11315,11364,11087,11108,83290,-0.02132158590308375
2020-12-23,11176,11404,11067,11325,115084,0.01953546993158084
2020-12-24,11315,11379,11265,11355,65253,0.0026490066225166586
2020-12-28,11384,11444,11300,11395,36692,0.003522677234698346
2020-12-29,11463,11627,11434,11627,285526,0.02035980693286521
2020-12-30,11627,11746,11602,11741,167975,0.009804764771652152
2021-01-04,11770,11993,11751,11994,308971,0.02154842006643376
2021-01-05,11949,12171,11810,12172,192874,0.014840753710188448
2021-01-06,12241,12320,11998,12063,164509,-0.008954978639500455
2021-01-07,12181,12354,12092,12320,112164,0.021304816380668168
2021-01-08,12374,12736,12340,12647,322881,0.026542207792207728
2021-01-11,12750,12973,12325,12657,203953,0.0007907013520993544
2021-01-12,12513,12661,12147,12449,129498,-0.016433594058623657
