Date,Open,High,Low,Close,Volume,Change
2020-09-25,100295,100310,100295,100310,26,
2020-09-28,100320,100320,100320,100320,25,9.969095803019634e-05
2020-09-29,100340,100340,100340,100340,1,0.0001993620414673103
2020-10-05,100275,100275,100170,100170,12,-0.001694239585409596
2020-10-06,100120,100120,99590,99590,2002,-0.005790156733552987
2020-10-07,99810,99810,99750,99750,20,0.0016065870067276666
2020-10-08,99595,99595,99595,99595,84,-0.0015538847117794186
2020-10-12,99610,99610,99610,99610,10,0.00015060997038007784
2020-10-13,99610,99610,99610,99610,0,0.0
2020-10-14,99980,99980,99980,99980,100,0.0037144864973395197
2020-10-15,100185,100185,100185,100185,10,0.0020504100820164517
2020-10-16,99975,99975,99915,99915,18,-0.0026950142236862318
2020-10-19,99725,100270,99685,100230,438,0.003152679777811196
2020-10-20,100115,100115,100115,100115,1,-0.0011473610695400538
2020-10-21,99655,99655,99655,99655,1,-0.004594716076511962
2020-10-22,99945,99945,99945,99945,2,0.002910039636746742
2020-10-23,99985,99985,99985,99985,0,0.0004002201210666634
2020-10-26,100040,100040,100040,100040,1,0.0005500825123767594
2020-10-27,99825,99825,99825,99825,0,-0.002149140343862488
2020-10-28,99925,99925,99925,99925,0,0.0010017530678687603
2020-10-29,99750,99750,99750,99750,0,-0.0017513134851138146
2020-10-30,99735,99735,99700,99700,237,-0.0005012531328321135
2020-11-02,99320,99320,99320,99320,1,-0.003811434302908756
2020-11-03,99295,99295,99295,99295,400,-0.00025171163914616823
2020-11-04,99455,99455,99455,99455,1,0.0016113600886247248
2020-11-05,99800,99800,99790,99790,4,0.0033683575486400663
2020-11-06,99490,99490,99490,99490,8,-0.0030063132578415086
2020-11-09,99395,99395,99395,99395,0,-0.0009548698361644403
2020-11-10,99080,99080,99080,99080,8,-0.0031691734996730503
2020-11-11,98830,99035,98745,98745,52,-0.0033811061768268535
2020-11-12,98960,98975,98900,98940,2250,0.0019747835333434605
2020-11-13,98940,98940,98940,98940,0,0.0
2020-11-16,98970,98970,98970,98970,0,0.0003032140691328067
2020-11-17,98990,98990,98990,98990,1,0.00020208143881994545
2020-11-18,99045,99045,99045,99045,3,0.0005556116779472653
2020-11-19,99210,99210,99210,99210,0,0.0016659094351052506
2020-11-20,99210,99210,99210,99210,0,0.0
2020-11-23,99395,99395,99395,99395,36,0.0018647313778852315
2020-11-24,99385,99385,99330,99330,2,-0.0006539564364405059
2020-11-25,99140,99140,99140,99140,0,-0.0019128158663042072
2020-11-26,99105,99105,99105,99105,3,-0.0003530361105507085
2020-11-27,99100,99100,99100,99100,11,-5.0451541294571634e-05
2020-11-30,98990,98990,98990,98990,2,-0.0011099899091826515
2020-12-01,99030,99030,99000,99000,11,0.00010102030508130078
2020-12-02,98850,98910,98850,98905,10000,-0.000959595959595938
2020-12-03,98750,98770,98675,98700,1150,-0.0020726960214346724
2020-12-04,99150,99170,99010,99025,66,0.0032928064842958626
2020-12-07,98870,98870,98775,98775,4002,-0.002524614996213037
2020-12-08,98885,98885,98885,98885,0,0.0011136421159199106
2020-12-09,98895,98950,98885,98950,7,0.0006573292208120751
2020-12-10,98950,98950,98895,98915,5,-0.0003537139969681524
2020-12-11,98800,98800,98800,98800,3,-0.0011626143658697297
2020-12-14,98795,98795,98795,98795,1,-5.0607287449433436e-05
2020-12-15,98795,98810,98795,98810,70,0.00015182954602965815
2020-12-16,98805,98805,98740,98740,15,-0.0007084303208176879
2020-12-17,98635,98635,98350,98350,39,-0.003949767065019261
2020-12-18,98625,98625,98430,98430,59,0.0008134214539907703
2020-12-21,98510,98510,98510,98510,0,0.0008127603372956038
2020-12-22,98395,98570,98395,98570,402,0.0006090752207896788
2020-12-23,98705,98705,98705,98705,1,0.0013695850664501297
2020-12-24,98705,98705,98705,98705,0,0.0
2020-12-28,98825,98825,98530,98730,62,0.00025327997568513894
2020-12-29,98725,98725,98725,98725,8,-5.064316823655268e-05
2020-12-30,98525,98525,98485,98515,32,-0.002127120790073489
2021-01-04,98790,98790,98415,98415,21,-0.0010150738466223608
2021-01-05,98680,98680,98680,98680,4,0.0026926789615404623
2021-01-06,98665,98665,98570,98570,3,-0.0011147142278070676
2021-01-07,98565,98565,98435,98565,26,-5.072537283146161e-05
2021-01-08,98280,98280,98280,98280,9,-0.0028914929234514775
2021-01-11,98840,98860,98800,98860,55,0.0059015059015059546
2021-01-12,98925,98925,98455,98465,62,-0.0039955492615820765
2021-01-13,98890,98890,98510,98510,39,0.00045701518306007216
2021-01-14,98810,98810,98705,98710,56,0.002030250735965966
2021-01-15,98675,98675,98660,98660,8,-0.0005065342923715743
2021-01-18,98430,98750,98430,98550,29,-0.0011149401986620955
2021-01-19,98840,98860,98750,98755,88,0.0020801623541348846
2021-01-20,98815,98850,98815,98850,4,0.0009619766087793913
2021-01-21,99005,99005,98550,98575,60,-0.002781992918563514
2021-01-22,98730,98730,98400,98505,72,-0.0007101191985797728
2021-01-25,98455,98455,98265,98325,21,-0.001827318410232981
2021-01-26,97840,98255,97840,98255,19,-0.0007119247393846395
2021-01-27,98330,98330,98275,98285,14,0.0003053279731310976
2021-01-28,98255,98255,98255,98255,2,-0.00030523477641553054
2021-01-29,98210,98210,98045,98045,7,-0.0021372958119180163
2021-02-01,97725,97895,97725,97820,31,-0.0022948646029884445
2021-02-02,97955,98050,97955,98050,16,0.0023512574115722717
2021-02-03,98050,98050,98050,98050,0,0.0
2021-02-04,98050,98055,98015,98015,52,-0.0003569607343192338
2021-02-05,97905,97905,97875,97875,14,-0.001428352803142352
2021-02-08,97965,97965,97910,97910,10,0.0003575989782886868
2021-02-09,97915,97915,97570,97570,7,-0.0034725768562966497
2021-02-10,97810,97810,97795,97810,4,0.002459772471046451
2021-02-15,97605,97605,97535,97535,7,-0.002811573458746497
2021-02-16,97495,97555,97495,97555,27,0.00020505459578612495
2021-02-17,97315,97330,97265,97330,25,-0.0023063912664650355
2021-02-18,97695,97695,97450,97450,2,0.0012329189355799741
2021-02-19,97400,97455,97400,97455,4,5.1308363263169454e-05
2021-02-22,97245,97255,97180,97180,17,-0.0028218151967575045
2021-02-23,96715,96935,96715,96910,17,-0.002778349454620299
2021-02-24,97360,97415,97345,97415,3,0.005211020534516608
2021-02-25,97170,97170,97170,97170,6,-0.002515013088333462
2021-02-26,96575,96775,96575,96775,25,-0.004065040650406471
2021-03-02,97050,97050,97035,97035,152,0.0026866442779642785
2021-03-03,96995,96995,96995,96995,1,-0.0004122223939815317
2021-03-04,96865,96865,96865,96865,0,-0.0013402752719212652
2021-03-05,96565,96565,96500,96500,52,-0.0037681309038352095
2021-03-08,96500,96500,96500,96500,1,0.0
2021-03-09,96155,96155,96155,96155,1,-0.003575129533678778
2021-03-10,96460,96460,96300,96300,13,0.0015079819042171927
2021-03-11,96300,96300,96300,96300,0,0.0
2021-03-12,96185,96185,95945,95945,5,-0.0036863966770508405
2021-03-15,95720,95720,95295,95295,21,-0.006774714680285565
2021-03-16,95735,95800,95735,95800,3,0.005299333648145277
2021-03-17,95555,95555,95555,95555,10,-0.0025574112734864096
2021-03-18,95550,95550,95355,95355,22,-0.0020930354246245786
2021-03-19,95540,95750,95540,95750,10,0.00414241518535996
2021-03-22,96200,96315,96200,96315,2,0.005900783289817246
2021-03-23,96315,96315,96315,96315,0,0.0
2021-03-24,96330,96330,96330,96330,0,0.00015573898146703513
2021-03-25,96425,96500,96425,96500,3,0.0017647669469531557
2021-03-26,96500,96500,96500,96500,0,0.0
2021-03-29,96500,96500,96500,96500,0,0.0
2021-03-30,96035,96035,96035,96035,0,-0.004818652849740923
2021-03-31,96010,96010,96010,96010,0,-0.00026032175769252763
2021-04-01,95855,96060,95855,96060,4,0.0005207790855119576
2021-04-02,96060,96060,96005,96005,2,-0.0005725588174058105
2021-04-05,95970,95970,95970,95970,1,-0.00036456434560705464
2021-04-06,95640,95645,95640,95645,3,-0.003386474940085482
2021-04-07,95625,95625,95625,95625,3,-0.00020910659208528415
2021-04-08,95685,95685,95420,95425,2011,-0.0020915032679738044
2021-04-09,96200,96200,96200,96200,1,0.008121561435682434
2021-04-12,96200,96200,96200,96200,0,0.0
2021-04-13,96280,96280,96175,96175,5,-0.00025987525987525295
2021-04-14,96355,96610,96005,96005,2010,-0.0017676111255523486
2021-04-15,96090,96090,96060,96090,12,0.0008853705536169265
2021-04-16,96300,96300,96025,96025,8,-0.0006764491622437419
2021-04-19,96715,96715,96215,96215,1005,0.0019786513928663485
2021-04-20,96585,96585,96585,96585,30,0.0038455542275113164
2021-04-21,97300,97300,96335,96335,17,-0.0025883936429051957
2021-04-22,96335,96335,96335,96335,0,0.0
2021-04-23,96335,96335,96335,96335,0,0.0
2021-04-26,96420,96420,95900,95900,2,-0.004515492811543065
2021-04-27,95810,95810,95810,95810,5,-0.000938477580813335
2021-04-28,96160,96160,95975,95975,23,0.00172215843857626
2021-04-29,95940,95940,95940,95940,0,-0.0003646783016409971
2021-04-30,95050,95050,95050,95050,0,-0.009276631227850718
2021-05-03,95345,95375,94960,95375,6,0.0034192530247239006
2021-05-04,95375,95375,95375,95375,0,0.0
2021-05-06,95730,95730,95730,95730,1,0.0037221494102228636
2021-05-07,95730,95730,95660,95660,3,-0.0007312232320066947
2021-05-10,95035,95555,95025,95080,11,-0.00606314028852184
2021-05-11,95085,95085,95085,95085,0,5.2587294909534066e-05
2021-05-12,94900,95100,94900,95100,2,0.00015775358889413837
2021-05-13,95100,95100,95100,95100,0,0.0
2021-05-14,95100,95100,95100,95100,0,0.0
2021-05-17,95675,95675,95675,95675,1,0.006046267087276513
2021-05-18,95660,95660,95660,95660,1,-0.0001567807682257838
2021-05-20,95590,95590,95590,95590,1,-0.0007317583106836167
2021-05-21,95735,95750,95735,95750,3,0.0016738152526414307
2021-05-24,95160,95175,95160,95175,11,-0.006005221932114835
2021-05-25,95175,95175,95175,95175,0,0.0
2021-05-26,95175,95175,95175,95175,0,0.0
2021-05-27,95105,95200,95105,95200,2,0.00026267402153923314
2021-05-28,95200,95200,95200,95200,0,0.0
2021-05-31,95330,95330,95265,95285,3,0.0008928571428572507
2021-06-01,95270,95270,95270,95270,2,-0.0001574224694338433
2021-06-02,95265,95265,94825,94830,23,-0.004618452818305863
2021-06-03,94940,94940,94870,94870,5,0.00042180744490138977
2021-06-04,94965,94965,94965,94965,0,0.0010013702961948479
2021-06-07,95580,95680,95470,95660,2000,0.00731848575791072
2021-06-08,95150,95150,95150,95150,3,-0.005331381977838223
2021-06-09,95245,95245,95245,95245,0,0.00099842354177615
2021-06-10,96260,96260,95425,95425,2,0.0018898629849335435
2021-06-11,95490,95490,95490,95490,1,0.0006811632171863646
2021-06-14,96375,96375,96275,96275,13,0.0082207561001153
2021-06-15,96090,96090,96090,96090,51,-0.0019215788106985432
